,title,videoId
70,“서울소재 주택 구입 시 희망가격은 평균 4억 원”,1sbBiYlXoE0
71,"[대구MBC뉴스] 아파트 가격 포항 안정세, 경주 오름세",eH0Ily1b7rA
72,"서울 민간아파트 3 3㎡당 분양가 1,900만원 넘겨",frSxBDSyXmE
73,전세 수요자 아파트 샀다,cpj73V8C6a0
74,[경제] 아파트 전세난민 대이동…다세대 전셋값 들썩 (SBS8뉴스|2015.01.23),EsKfCMIu11I
75,수도권아파트 거래 역대 최대…정점 찍고 꺾이나,j7S-WHBhAg4
76,올해 서울 아파트 평균 전셋값 5천만 원 올라,TYXXrRss67s
77,'저금리ㆍ전세난'에 서울 아파트 월세비중 사상 최고,XFJGkJepe-c
78,"아파트가격과 경제성장률은 비례한다, 윤용태교수 강의 (1강 1부)",jbf4WtJ6094
79,주택시장 '숨 고르기'...일부 지역 가격 하락 / YTN,Y0zDjVdKxeU
80,서울 아파트 9월 거래량 2009년 이후 최고,YrJpoM8c60A
81,서울 아파트 매매가 4.5%↑…9년 만에 최대폭 상승,4CWFD5FxWnw
82,LTV · DTI 규제 완화 시행..아파트 가격 얼마나 오를까 (8.1),cQLuwHTCIGI
83,중소형 아파트 가격 10년 만에 최고 상승폭,sEGHtSmfC-Q
84,[tbsTV]예민수의 시시각각/부동산 시장 동향,GsxQnr9ZwPw
85,"[시황 Live] 서울 아파트값 18주 연속 상승, 지속될 까?-부동산114",pTR4AmIIfqo
86,"동작 트인시아, 인근 5년차 아파트 가격과 1억 차이 보여☆1599-8449☆",BKjC72Ux6AI
87,수도권아파트 거래 역대 최대…정점 찍고 꺾이나,oXAu6tBYqpo
88,강남 재건축 아파트 분양가 4천만 원 시대 / YTN,O3IksVlsTeE
89,[이슈 Live] 아파트 가격 `똑똑하게` 분석하기-부동산114,XRdKqb8Yiv4
90,서울 소형 중대형 아파트값 역전 확산,wVcTGoZISd0
91,서울 강남 재건축 매물 홍수…부동산 과열 조짐,rYhxoEn8Nt4
92,강남·비강남 아파트값 격차 더 벌어져... / YTN,ekS1wGhKgaQ
93,[경제] 부동산 '강남부터' 옛말…강북 집값 먼저 들썩 (SBS8뉴스|2015.04.17),axd3iW483sA
94,매매도 청약도 '주춤'…부동산 한풀 꺾였다 / SBS,WbQC-DBMnOA
95,서울 강남권 아파트·연립 전세가율 60% 돌파 / YTN,tB7xrb9yhVc
96,부동산 훈풍...지방투자자 수도권 '발길' / YTN,_vOjk9Wyitg
97,서울 분양권 프리미엄 급등…집값 계속 오르나,HqaDkr7mhg0
98,서울 전셋값 상승률 13배↑...올해도 전세난 / YTN,DOGs0zUtaMI
99,"같은 아파트-다른 가격, 이유는? @SBS 생활경제 140825",1ka4nhyFzxo
100,가계부채대책에 서울아파트값 상승폭 둔화 수정,Wjg7B-WrYpI
101,"""강북 아파트도 3.3㎡당 전세 천만 원 넘었다"" / YTN",cSHXdOD1kCc
102,[경제] 거래량 늘면 집값 급등?…깨지는 '부동산 법칙' (SBS8뉴스|2015.02.27),DABq0S22Nug
103,서울 1월 아파트 전셋값 상승률 13년 만에 최고,q9hIYRaxEuE
104,서울 강남 분양가 3.3㎡당 4천만원…집값 거품 우려,YIo7L5NLjVM
105,학군 쫓아서…2월 서울의 아파트 월세거래 사상 최고,TDUs9uOEzas
106,"아파트가격과 경제성장률은 비례한다, 윤용태교수 강의(1강 2부)",ClivOcZSHWA
107,집값 오른다는데 아파트 ‘떨이판매’ 여전,TNcVh20Y_kU
108,서울 아파트거래량 3개월만에 `증가세`…1만건 돌파 전망,g2uaSueJHs4
109,10월 주택 거래 증가...가격은 하락 / YTN,52EqLPkMymM
110,내일부터 분양가 상한제 폐지…서울 재건축 '들썩',hi2ARn2SzuM
111,"서울 아파트 전세금, 월급 6년치 모아야",HV9z-eveB40
112,강남 아파트값 1년 만에 하락…'강남불패' 끝? / SBS,Gj2yBPwDK-Q
113,[뉴스투데이]순천지역 아파트 거래 실종,3aynYVVMnUs
114,"[tbsTV]예민수의 시시각각/하자판정기준 변경, 서울아파트 불법구조변경 등",99x4IQHFXww
115,‘부동산 대책 영향’ 전국 아파트값 12주 연속 상승,fFvGxPxWcL4
116,강남권 재건축 다시 약세로...개포·잠실 하락 / YTN,MrVdsIRZqNE
117,[14/07/04 정오뉴스] 소득 대비 집값 하락세...강남 APT '불패'는 여전,DTDnS98xYlo
118,서울 강남 재건축 과열…공급과잉으로 집값 하락 우려,_nTbPolxrTs
119,전세난 속 소형 아파트 인기 '상한가' / YTN,ec07M27qqgg
120,매매가보다 전셋값 비싼 아파트 속출 / YTN,_WP3tn9Sc14
121,[tbstv] 서울시내 단독주택 공시가격 상승,RPG7sJPMv2Y
122,[tbs tv]분기 서울 전세 얼마나 올랐나,3Kyor37s1P0
123,전국 아파트 전셋값 금융위기 이후 60%↑ / YTN,iEGLUBHRvS8
124,서울재건축·신도시 아파트값 1년여만 하락,Fz5H8ee7RPE
125,치솟는 전세가격…전세가 오르는 이유는?_채널A_뉴스TOP10,qURpc-Fuf20
126,"5년간 집값 실질상승률 韓 1 5%, 美 15%, 홍콩 56%",PEWRSAbNFwc
127,"[안동MBC뉴스]지역 아파트,매매.전세가 오름세",mJ_1OmAgp_g
128,재건축 규제 대폭 완화…불붙는 부동산시장,qcVH4oN1Cm8
129,"[tbstv] 서울부동산 정보광장, 부동산 정보 총집합",RxbPYp321t0
130,주택 거래량 반등...서울 강남이 주도 / YTN,PPu9PgLbHd0
131,"초호화 지하 아파트 판매...""핵공격도 끄떡없어"" / YTN",fQ4hBPQK8HE
132,"7월 서울 아파트 거래량 9,412건… 사상 최고",IeqGQPuigQU
133,수서동 동익아파트 미래가격 예측,JoJ4nyV2F9s
134,한 달 관리비만 4300만 원…맨해튼 아파트 가격은?_채널A_뉴스TOP10,RqfG_42QCWw
135,"""주택 매매 다시 백만 건...의미는 달라"" / YTN",7KRDEtdlZQc
136,"전셋값 상승세, 중소형 너머 중대형아파트로 번져",7pgzWQosmS4
137,"[뉴스인] 강남 아파트값 상승 이유는? [박종복, 공인중개사] / YTN",oFmLD4jT8aA
138,[15/03/29 정오뉴스] 3월 서울 아파트 거래량 2006년 이래 최대 전망,iPCLU9MxJ5g
139,서울에서도 전세가율 90％ 넘는 아파트 속출 / YTN,gouS_yy002A
140,'전세난민'의 선택…서울 떠나 경인으로,bpgA7If43iA
141,전국 아파트 매매가 상승폭 확대…전세는 축소,LbX7svvhHFY
142,1인 가족 증가에 소형 넘어 ‘초소형 아파트’ 인기,1p8xwZOlDwE
143,"‘9·1 효과’ 수도권 아파트 시총 한달새 2조 4,000억원 증가",ylN0apA5Lmw
144,"[15/03/01 정오뉴스] 서울 아파트 거래량, 사상 최대치…전세난에 '내집 마련' 늘어",eJSHNa9r1nU
145,"삼성물산, 하반기 서울에 아파트 1만가구 공급",nDUzkqfVJqc
146,전국 아파트값 상승폭 커져 7주 연속 상승세,stFBK5d812E
147,대출심사 강화에 서울아파트 상승폭 올들어 최저,12MyTFv_Edk
148,집 사려면 경기도로 가라? 집 값 상승률 서울 2배,EdxoqFuB4bI
149,강남 재건축 '최경환 경제팀' 전으로 하락 / YTN,EeSlWskp77k
150,중소형 전세난에 일부 아파트 역전 현상 / YTN,fmlGNdHAcDk
151,아파트분양권 무조건 다 오른다?,EZxz7V0uMFs
152,강남구 청담동 진흥 APT 2020년~2050년 미래가격 예측,WOQJ4_glglc
153,[뉴스큐] 강남 전셋값 ] 강북 집값 / YTN,t-7P-y0YF-w
154,"재건축 가시화…목동 3.3㎡ 당 2,000만원대 회복",t9tpOB_9lLo
155,"분당 전셋값, 서울 제쳤다…얼마나 비싸길래? / YTN",DYwbMYpxyPw
156,[투데이포커스] ‘주택 공동구매’ 조합아파트 인기,fmFyKjqkX78
157,"서울 일반아파트값 상승폭, 재건축 앞질러",qrdekZYBg-A
158,[연립/다세대 투자성분석5] 용산구 한남뉴타운은 어떨까요?,0PtZffVHXK8
159,10월 주택 매매거래량 7년 만에 최대치,y4mkDwA0Lag
160,3.3㎡ 전셋값 천만 원 초과 지역 속출 / YTN,4vllmp2hMfQ
161,"""주택 매매 다시 백만 건...의미는 달라"" / YTN",H8o4__NDpVE
162,강남구 청담동 삼성청담공원아파트 2020년~2050년 미래가격 예측,TC8u2FMKpvA
163,강남·비강남 아파트값 격차 더 벌어져... / YTN,QMyg05dwwws
164,[경제] 연립 주택도 '미친 전세'…평균 1억 원 넘었다 (SBS8뉴스|2014.12.4),hBLNZ8y0mhY
165,"서울 시내 11층 빌딩 가격은? ""2억 원입니다"" / YTN",UsLY7udWo7U
166,"동작 트인시아, 인근 5년차 아파트 가격과 1억 차이 보여@1599-8449@",Z4Xk1a57xko
167,"""응답하라 물가""...1988년과 2015년 비교해보니 / YTN",haWbITBTAC8
168,"[안동MBC뉴스]지역 아파트,내년부터 가격 하락 우려",RzYLXdRrqAI
169,[tbsTV]예민수의 시시각각/서울아파트 전고점과 부동산시장변화,txIaPGzR6-s
170,"[15/09/09 뉴스데스크] 이사철 본격화, 매매보다 전세가 더 비싼 아파트",fF6hmmmDlys
171,아파트 전세가율 70% 육박...'전세 소득 과세' 재검토,KZDhxeCLe8w
172,[경제] 아파트 거래량 '뚝'…두 달도 못 간 부동산 대책 (SBS8뉴스|2014.12.3),Kea63wA2BkM
173,대치동 은마아파트 미래가격 예측,_WBvUDhfCkQ
